id	category	query	expect_hint	source	evidence
q1	관계선호	사용자가 Claude 모델 설정 변경을 어떻게 검증하길 원하나	실측(로그·grep) 기반 검증 + 정정 즉시 기록 선호	nunchi	facts.db preference류 / decisions/memory-system-mempalace-nunchi §TM-1332 실측 문항
q2	관계선호	nunchi 파일럿 노드별 fact 수는 어떻게 되나	노드별 수치를 근거와 함께 (DB 최신값 허용)	nunchi	decisions/memory-system-mempalace-nunchi §TM-1332 표 (soonwook 52·dungae 39·yukson 134, 최신값 허용)
q3	노드사실	quiz2-api 서비스 포트와 경로	seoseo /opt/seoseo-services/quiz2 계열 원문 상세	nunchi	MemPalace verbatim (seoseo quiz2 세션 원문) — TM-1332 Q3
q4	노드사실	퀴즈 API가 어느 주소에서 돌고 있었는지 기억나?	q3과 동일 사실 — 자연어 패러프레이즈 회수 검증(TM-1332 Q4 약점)	nunchi	q3과 동일 근거 — 패러프레이즈 회수 프로브
q5	시간축	이 노드의 현재 ccc-node HEAD 커밋은	최신 fact가 과거 fact를 대체해야 함 (B2/시간축 검증)	nunchi	facts.db supersede 체인 (HEAD 커밋 fact) — live-check 대조 허용
q6	결정근거	Termux 노드를 peer_facts-only로 확정한 이유는	결정과 함께 근거(chromadb aarch64 빌드 불가 등)가 답에 남아야 함 (#890 드리프트 축)	wiki	decisions/memory-system-mempalace-nunchi §TM-2029 Termux 노드 메모리 전략
q7	결정근거	Honcho를 유지하지 않고 폐기 경로로 정한 이유는	결정+이유(원문형 무능·서버 영구화 등) 동반 회수 — 이유 소실 시 드리프트 실측	wiki	decisions/memory-system-mempalace-nunchi §TM-2029 (기각 사유·3단계 전환)
q8	관계선호	사용자에게 보고할 때 지켜야 하는 절 구성과 증거 규칙은	확정 사실/변경/리스크/다음 액션 절 분리 + SHA·PR·문서번호 등 증거 ID 절대 생략 금지	nunchi	facts.db preference id 728·460·619
q9	관계선호	사용자에게 뭔가 물어봐야 할 때는 어떤 형식으로 물어야 하나	번호형 선택지 + 권장안 선제시, 사용자는 숫자만으로 답함	nunchi	facts.db preference id 706·679·491
q10	관계선호	여러 노드가 조사한 걸 하나로 합쳐 달라고 하면 어떤 모양새로 정리해 드려야 하지	중복 통합 + 중요도 높은 순 단일 종합 문서, docx 먼저 + txt 사본 패턴	nunchi	facts.db preference id 747 — 패러프레이즈 프로브('종합 문서/중복' 어휘 회피)
